id,name
0,acting in play
1,arguing
2,assembling bicycle
3,backflip (human)
4,base jumping
5,bathing dog
6,battle rope training
7,blowing bubble gum
8,bottling
9,breathing fire
10,building lego
11,building sandcastle
12,bull fighting
13,calculating
14,calligraphy
15,card stacking
16,card throwing
17,carving ice
18,chewing gum
19,chiseling stone
20,chopping meat
21,chopping vegetables
22,coloring in
23,contorting
24,cooking scallops
25,cosplaying
26,cracking back
27,cracking knuckles
28,crossing eyes
29,cumbia
30,curling (sport)
31,cutting apple
32,delivering mail
33,directing traffic
34,docking boat
35,doing jigsaw puzzle
36,drooling
37,dumpster diving
38,dyeing eyebrows
39,embroidering
40,falling off bike
41,fidgeting
42,fixing bicycle
43,geocaching
44,getting a piercing
45,gold panning
46,hand washing clothes
47,head stand
48,historical reenactment
49,huddling
50,ice swimming
51,installing carpet
52,ironing hair
53,jumping bicycle
54,jumping jacks
55,land sailing
56,lawn mower racing
57,laying stone
58,laying tiles
59,leatherworking
60,licking
61,lifting hat
62,lighting fire
63,lock picking
64,longboarding
65,looking at phone
66,luge
67,making balloon shapes
68,making bubbles
69,marriage proposal
70,massaging neck
71,moon walking
72,mosh pit dancing
73,mushroom foraging
74,opening door
75,opening refrigerator
76,photobombing
77,pinching
78,pirouetting
79,planing wood
80,playing beer pong
81,playing blackjack
82,playing darts
83,playing dominoes
84,playing field hockey
85,playing gong
86,playing hand clapping games
87,playing laser tag
88,playing lute
89,playing maracas
90,playing netball
91,playing ocarina
92,playing pan pipes
93,playing ping pong
94,playing polo
95,playing rubiks cube
96,playing scrabble
97,playing with trains
98,poking bellybutton
99,polishing metal
100,popping balloons
101,pouring beer
102,preparing salad
103,putting in contact lenses
104,putting on eyeliner
105,putting on foundation
106,putting on mascara
107,putting on sari
108,repairing puncture
109,riding snow blower
110,roasting marshmallows
111,roasting pig
112,rolling pastry
113,rope pushdown
114,scrapbooking
115,scrubbing face
116,separating eggs
117,sewing
118,shaping bread dough
119,shining flashlight
120,shopping
121,shuffling feet
122,sipping cup
123,skiing mono
124,skipping stone
125,smashing
126,smelling feet
127,smoking pipe
128,square dancing
129,steer roping
130,sucking lolly
131,swimming front crawl
132,swinging baseball bat
133,sword swallowing
134,tagging graffiti
135,talking on cell phone
136,tasting wine
137,threading needle
138,throwing knife
139,throwing snowballs
140,throwing tantrum
141,throwing water balloon
142,tie dying
143,tightrope walking
144,trimming shrubs
145,twiddling fingers
146,tying shoe laces
147,using a paint roller
148,using a power drill
149,using a wrench
150,using atm
151,using bagging machine
152,using circular saw
153,using inhaler
154,visiting the zoo
155,wading through mud
156,wading through water
157,waving hand
158,weaving fabric
159,winking
