id,name
0,Pouring something into something
1,Throwing something onto a surface
2,Moving something away from the camera
3,Dropping something in front of something
4,Dropping something into something
5,"Removing something, revealing something behind"
6,Moving something closer to something
7,Pretending to close something without actually closing it
8,Moving something away from something
9,Pretending to throw something
10,Showing something on top of something
11,Pretending to take something out of something
12,Tilting something with something on it until it falls off
13,Scooping something up with something
14,Throwing something in the air and catching it
15,Putting number of something onto something
16,Pushing something so that it almost falls off but doesn't
17,Folding something
18,Picking something up
19,Dropping something next to something
20,"Putting something, something and something on the table"
21,Holding something behind something
22,Turning the camera right while filming something
23,Turning the camera left while filming something
24,Stacking number of something
25,Taking something from somewhere
26,Pretending to put something into something
27,Closing something
28,Spinning something that quickly stops spinning
29,Moving away from something with your camera
30,Something falling like a feather or paper
31,Putting something and something on the table
32,Dropping something onto something
33,Approaching something with your camera
34,Plugging something into something
35,Pretending to put something next to something
36,Pretending to take something from somewhere
37,Putting something behind something
38,Showing that something is inside something
39,Opening something
40,Throwing something against something
41,Rolling something on a flat surface
42,Holding something over something
43,Tearing something just a little bit
44,Poking something so it slightly moves
45,Stuffing something into something
46,Something falling like a rock
47,Pretending to put something on a surface
48,Holding something next to something
49,Lifting up one end of something without letting it drop down
50,Pushing something with something
51,Holding something
52,Touching (without moving) part of something
53,Pretending to open something without actually opening it
54,Lifting something with something on it
55,Moving something and something away from each other
56,Pretending to pick something up
57,Pulling something from left to right
58,Moving something and something closer to each other
59,Pulling something from right to left
60,"Lifting something up completely, then letting it drop down"
61,"Lifting up one end of something, then letting it drop down"
62,Putting something onto something
63,Showing that something is empty
64,Lifting something up completely without letting it drop down
65,Showing something behind something
66,Pushing something so that it falls off the table
67,Taking something out of something
68,Tearing something into two pieces
69,Hitting something with something
70,Putting something similar to other things that are already on the table
71,Holding something in front of something
72,Pushing something so that it slightly moves
73,Squeezing something
74,Putting something next to something
75,Turning something upside down
76,Poking something so lightly that it doesn't or almost doesn't move
77,Putting something into something
78,Throwing something
79,Taking one of many similar things on the table
80,Uncovering something
81,Pushing something from right to left
82,Covering something with something
83,Moving something down
84,Pushing something from left to right
85,Moving something up
86,Putting something on a surface
