id,name
0,Typing
1,BasketballDunk
2,BrushingTeeth
3,Skiing
4,WallPushups
5,Biking
6,SoccerPenalty
7,BabyCrawling
8,BoxingSpeedBag
9,Haircut
10,Nunchucks
11,Shotput
12,Basketball
13,CliffDiving
14,FrontCrawl
15,GolfSwing
16,HandstandPushups
17,ApplyEyeMakeup
18,Rowing
19,TableTennisShot
20,CricketBowling
21,RockClimbingIndoor
22,Archery
23,Diving
24,HammerThrow
25,Kayaking
26,HeadMassage
27,JumpRope
28,BaseballPitch
29,Hammering
30,PlayingFlute
31,WritingOnBoard
32,SoccerJuggling
33,PoleVault
34,Billiards
35,PlayingDaf
36,BandMarching
37,BenchPress
38,Bowling
39,IceDancing
40,PlayingSitar
41,BoxingPunchingBag
42,HorseRiding
43,PlayingDhol
44,Drumming
45,PlayingGuitar
46,TennisSwing
47,CricketShot
48,ShavingBeard
49,PlayingCello
50,Punch
