id,name
0,PlayingViolin
1,PullUps
2,PushUps
3,Skijet
4,TaiChi
5,BreastStroke
6,BlowingCandles
7,MoppingFloor
8,UnevenBars
9,BalanceBeam
10,CuttingInKitchen
11,Fencing
12,HandstandWalking
13,ParallelBars
14,PlayingPiano
15,CleanAndJerk
16,SkyDiving
17,PizzaTossing
18,PlayingTabla
19,StillRings
20,JugglingBalls
21,VolleyballSpiking
22,ApplyLipstick
23,BodyWeightSquats
24,SumoWrestling
25,Rafting
26,RopeClimbing
27,FieldHockeyPenalty
28,HighJump
29,JavelinThrow
30,JumpingJack
31,TrampolineJumping
32,WalkingWithDog
33,PommelHorse
34,SkateBoarding
35,FloorGymnastics
36,FrisbeeCatch
37,HorseRace
38,Knitting
39,Swing
40,Lunges
41,SalsaSpin
42,HulaHoop
43,Mixing
44,LongJump
45,MilitaryParade
46,ThrowDiscus
47,YoYo
48,BlowDryHair
49,Surfing
